N∞ OperaciÛn~Estado Contrato~Estado Pago~Cliente Nombre~Cliente RUT~Cliente Actividad~Cliente Tipo~Cliente Region~Cliente Comuna~Cliente Ciudad~Cliente Direccion~Cliente Telefono~Cliente Celular~Cliente Email~Vehiculo Estado~Vehiculo AÒo~Vehiculo Marca~Vehiculo Serie~Vehiculo Tipo~Vehiculo Modelo~Pie~Saldo Precio~Gastos Operacionales~Accesorios~Desgravamen~CesantÌa~PÈrdida Total~Impuesto~Desfase~Saldo Capital~Tipo Pago~Producto~VFMG~Fecha VFMG~Fecha Cierre~Tasa~Rentas~Cuota 1~Fecha Primera Cuota~Total Intereses~Total Cuotas~Tipo Contrato~Distribuidor~Ejecutivo Cobranza~Nro Cuota~Fecha Vto Cuota~Fecha Pago Cuota~Estado Cuota~Mora Cierre~Saldo Inicial~Intereses~Amortizacion~Cuota 2~Saldo Final~Pago Total~Total Saldos~Saldo Insoluto~Usuario RecaudaciÛn~Ejecutivo~Forma de Pago Id~Forma de Pago~CrÈdito Cartera Antigua~Estado CrÈdito
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~1~10/02/2019~        ~IMPAGA~18~28103988~351300~250775~602075~27853213~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~2~10/03/2019~        ~POR VENCER~0~27853213~348165~253910~602075~27599303~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~3~10/04/2019~        ~POR VENCER~0~27599303~344991~257084~602075~27342219~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~4~10/05/2019~        ~POR VENCER~0~27342219~341778~260297~345900~27081922~345900~345900~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~5~10/06/2019~        ~POR VENCER~0~27081922~338524~263551~602075~26818371~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~6~10/07/2019~        ~POR VENCER~0~26818371~335230~266845~602075~26551526~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~7~10/08/2019~        ~POR VENCER~0~26551526~331894~270181~602075~26281345~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~8~10/09/2019~        ~POR VENCER~0~26281345~328517~273558~602075~26007787~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~9~10/10/2019~        ~POR VENCER~0~26007787~325097~276978~602075~25730809~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~10~10/11/2019~        ~POR VENCER~0~25730809~321635~280440~602075~25450369~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
180288918~VIGENTE~MOROSO~ANDRES DANIEL REINSTEIN ALVAREZ~7006883-4~OTRA~Independiente~01 TARAPACA~IQUIQUE~IQUIQUE~las amapolas 1234~055 123456789~987654321~globalpruebatest@gmail.com~USADO~2018~BMW~X6~TODO TERRENO~X6 XDRIVE35I~15000000~27500000~275000~0~0~0~0~224832~104156~28103988~PAC~INTELIGENTE~17000017~10/03/2022~05/01/2019~1.25~37~602075~10/02/2019~10570729~38418542~AUTOMOTRIZ~WILLIAMSON BALFOUR MOTORS~aaguayo~11~10/12/2019~        ~POR VENCER~0~25450369~318130~283945~602075~25166424~602075~602075~28103988~ ~ ~0~ ~NO~Retenido
